"","Word","SocPhys.Mean","SocPhys.SD","V.Mean.Sum","V.SD.Sum","SUBTLWF","Valence","Concreteness","word_length"
"236","skilled",4.8125,1.60078105935821,7.05,1.05,2.37,"positive","abstract",7
"237","smelly",1.90909090909091,1.70026735865542,2.68,1.46,4.14,"negative","neutral",6
"238","soulful",5.7,1.77157035944428,7.1,1.25,0.43,"positive","neutral",7
"239","spectacular",6,1.4142135623731,7.5,1.36,5.67,"positive","abstract",11
"240","spirited",5.6,1.51657508881031,7.57,1.12,1.22,"positive","abstract",8
"241","splendid",5.90909090909091,1.300349603341,7.62,1.28,11.67,"positive","abstract",8
"242","starry",3.2,1.09544511501033,7.4,1.5,0.73,"positive","concrete",6
"243","stingy",6.57142857142857,1.13389341902768,2.53,1.47,1.24,"negative","abstract",6
"244","stressful",5.15,1.92886309014218,2.62,1.36,2.51,"negative","abstract",9
"245","successful",5.2,1.30384048104053,7.76,1.76,20.33,"positive","neutral",10
"246","suicidal",5.71428571428571,1.38013111868471,2.15,2.16,2.9,"negative","neutral",8
"247","sullen",5.9,1.44648114135916,2.84,1.01,0.57,"negative","neutral",6
"248","sunny",2.2,1.6431676725155,7.95,0.89,7.67,"positive","concrete",5
"249","talented",5.4,1.98455575342734,7.95,1.07,11.39,"positive","neutral",8
"250","terrifying",5.42857142857143,1.51185789203691,2.63,1.92,4.25,"negative","neutral",10
"251","thankful",6.2,1.30384048104053,7.76,1.65,5.37,"positive","abstract",8
"252","thoughtful",6,1.4142135623731,7.26,1.45,7.8,"positive","abstract",10
"253","toothless",1,0,2.52,1.5,0.55,"negative","concrete",9
"254","toxic",3.6875,1.40089257261219,2.35,1.27,4.9,"negative","neutral",5
"255","traitorous",6.31818181818182,1.58524036442018,2.32,1.11,0.47,"negative","abstract",10
"256","traumatic",5,1.59164485150844,2.22,1.4,2.71,"negative","neutral",9
"257","treasured",4.85714285714286,1.4638501094228,7.14,1.53,0.59,"positive","neutral",9
"258","triumphant",6.18181818181818,1.65144564768954,7.45,1.6,1.37,"positive","abstract",10
"259","troublesome",5.75,1.12546286774228,2.74,1.19,1.55,"negative","neutral",11
"260","truthful",5.6,1.51657508881031,7.48,1.29,2.14,"positive","abstract",8
"261","unappreciated",6.4,0.547722557505166,2.65,1.46,0.47,"negative","abstract",13
"262","unattractive",3.6,2.70185121722126,2.37,1.12,1.8,"negative","neutral",12
"263","unbearable",4.875,1.48820146141025,2.1,0.94,2.53,"negative","abstract",10
